Provinsi,Kabupaten/Kota,Luas Panen 2018,Luas Panen 2019,Luas Panen 2020,Luas Panen 2021,Luas Panen 2022,Luas Panen 2023,Luas Panen 2024,Produksi Padi 2018,Produksi Padi 2019,Produksi Padi 2020,Produksi Padi 2021,Produksi Padi 2022,Produksi Padi 2023,Produksi Padi 2024,produktivitas
Sumatera Utara,DELI SERDANG,52978.85,56051.79,49658.5,53981.21,54364.03,52361,50214,308529.23,310784.51,315156.48,323107.61,331769.45,312406,313546,5.966387196577606
Sumatera Utara,LANGKAT,26460.96,27339.29,27742.99,25633.4,23315.84,24435,24761,140285.48,128293.57,139829.47,125103.01,115310.33,119871,119871,4.905709023941069
Sumatera Utara,NIAS SELATAN,11892.78,13597.73,10803.5,13491.62,12263.83,11952,12680,52037.91,59518.29,46202.43,57492.48,43037.79,42369,44806,3.544929718875502
Sumatera Utara,HUMBANG HASUNDUTAN,14824.54,16357.01,11968.69,11440.24,15971.97,16179,17238,72502.95,68288.15,56389.69,49513.29,65908.05,68644,75663,4.242783855615304
Sumatera Utara,PAKPAK BHARAT,1378.3,1354.81,1064.93,1175.82,1436.85,1126,1675,4706.98,5385.93,3724.34,4476.81,5212.74,3465,6926,3.077264653641208
Sumatera Utara,SAMOSIR,8193.68,8976.22,7927.89,7874.65,6790.46,7386,7115,42068.41,47619.58,37103.35,42388.81,38052.33,43183,42669,5.846601678851882
Sumatera Utara,SERDANG BEDAGAI,48584.09,48156.55,48862.29,49091.03,50910.11,49742,51118,281534.19,279705.68,297346.87,270270.84,298314.65,302039,333129,6.072112098427888
Sumatera Utara,BATU BARA,13277.62,12489.08,12988.09,12269.27,12827.29,13034,11736,69078.52,65816.11,73938.86,69181.22,68430.96,70300,68306,5.393586005830904
Sumatera Utara,PADANG LAWAS UTARA,5970.76,6614.83,8583.94,7124.65,6894.1,10595,11390,25974.82,29259.13,34491.82,29263.5,29247.18,41829,45074,3.947994336951392
Sumatera Utara,PADANG LAWAS,7048.07,7218.01,8374.84,6961.04,7325.83,9970,11356,27288.88,23824.5,29216.42,26328.75,27674.56,38136,45342,3.8250752256770313
Sumatera Utara,LABUHAN BATU SELATAN,119.11,68.05,164.48,113.43,102.09,130,102,419.97,258.48,624.4,496.21,403.84,443,422,3.4076923076923076
Sumatera Utara,LABUHAN BATU UTARA,10580.82,10475.74,12268.17,9047.81,19670.34,19088,18753,50174.73,47782.62,56125.53,38367.28,79223.04,77885,85067,4.080312238055322
Sumatera Utara,NIAS UTARA,10130.16,10950.94,7584.08,9690.89,8768.97,8886,8926,42119.28,48851.51,31726.75,40034.78,39122.95,36542,52555,4.112311501237902
Sumatera Utara,NIAS BARAT,2185.68,2305.51,2691.48,2699.9,2441.86,2983,2583,8851.35,8675.96,10549.72,12097.93,10228.82,14647,11518,4.910157559503856
Sumatera Utara,TANJUNG BALAI,92.76,80.46,75.45,75.92,75.92,53,55,472.65,428.78,426.9,394.06,348.41,233,217,4.39622641509434
Sumatera Utara,PEMATANG SIANTAR,1524.39,1812.25,2055.44,1951.46,1842.98,1462,1599,9230.46,11313.58,12655,12065.71,11490.47,8964,9312,6.131326949384405
Sumatera Utara,TEBING TINGGI,566.83,501.8,484.97,452.41,447.99,448,459,2969.08,3123.34,2675.77,2385.57,2310.46,2527,2964,5.640625
Sumatera Utara,MEDAN,1113.95,1184.17,924.83,1051.11,1007.53,968,920,5119.74,6028.72,5026.28,5318.98,5854.91,5566,5444,5.75
Sumatera Utara,BINJAI,1479.15,1489.51,1456.08,1426.14,1244.91,1342,1094,6183.98,5980.75,7869.63,7395.93,6342.59,6420,4918,4.783904619970194
Sumatera Utara,PADANGSIDIMPUAN,4798.2,3863.88,3532.72,3368.87,3154.81,3678,3225,24746.32,19432.3,19609.89,17628.96,17769.03,21130,20185,5.7449700924415446
Sumatera Utara,GUNUNGSITOLI,2498.84,2313.03,2349.21,2732.9,2003.98,2680,2596,13057.94,11958.54,13352.43,13407.63,9647.98,14018,11644,5.230597014925373
